BveTs Station List 2.00:UTF-8,,,,,,,,,,,,
#stationKey,stationText,arrivalTime,depertureTime,stoppageTime,defaultTime,signalFlag,alightingTime,passengers,arrivalSoundKey,depertureSoundKey,doorReopen,stuckInDoor
Sta-2,姫　　路,7:03:00,7:05:25,40,7:04:30,1,0,0.42,himeji,hassha_long,0.3,0.04
Sta-1,英 賀 保,7:09:40,7:10:00,15,7:09:40,0,0,0.45,,,0.25,0.03
Sta0,はりま勝原,7:12:45,7:13:05,15,7:12:45,0,0,0.48,,,0.12,0.03
Sta1,網　　干,7:15:45,7:16:15,20,7:15:45,0,0,0.47,,,0.35,0.03
Sta2,竜　　野,7:21:25,7:21:45,15,7:21:25,0,0,0.47,,,0,0
Sta3,相　　生,7:25:35,7:26:20,35,7:25:35,0,0,0.56,aioi,,0.35,0.03
Sta4,有　　年,7:32:20,7:32:40,15,7:32:20,0,0,0.57,,,0,0
Sta5,上　　郡,7:38:00,7:38:30,20,7:38:00,0,0,0.52,,,0.21,0
Sta6,三　　石,7:49:00,7:49:30,20,7:49:00,0,0,0.52,,,0,0
Sta7,吉　　永,7:55:30,7:56:00,20,7:55:30,0,0,0.52,,,0,0
Sta8,和　　気,8:00:30,8:01:00,20,8:00:30,0,0,0.52,,,0,0
Sta9,熊　　山,8:05:00,8:06:00,20,8:05:00,0,0,0.52,,,0,0
Sta10,万　　富,8:09:50,8:10:20,20,8:09:50,0,0,0.52,,,0,0
Sta11,瀬　　戸,8:14:30,8:15:00,20,8:14:30,0,0,0.52,,,0,0
Sta12,上　　道,8:19:20,8:19:50,20,8:19:20,0,0,0,,,0,0
Sta13,東 岡 山,8:23:00,8:24:30,20,8:23:00,0,0,0,,,0,0
Sta14,高　　島,8:27:40,8:28:20,20,8:27:40,0,0,0,,,0,0
Sta15,西 川 原,8:30:50,8:31:20,20,8:30:50,0,0,0,,,0,0
Sta16,岡　　山,8:34:30,t,20,8:34:30,0,0,0,,,0,0
