CreateMeshBuilder
AddVertex,1.5,1.1,0
AddVertex,1.5,1.1,10
AddVertex,2.7,1.1,10
AddVertex,2.7,1.1,0
AddFace,0,1,2,3
GenerateNormals
LoadTexture,form2.bmp
SetTextureCoordinates,0,0,7
SetTextureCoordinates,1,0,0
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,1,7

CreateMeshBuilder
AddVertex,1.5,0.95,0
AddVertex,1.5,0.95,10
AddVertex,1.5,1.1,10
AddVertex,1.5,1.1,0
AddFace,0,1,2,3
GenerateNormals
LoadTexture,FormSide2.bmp
SetTextureCoordinates,0,0,0.1
SetTextureCoordinates,1,1,0.1
SetTextureCoordinates,2,1,0
SetTextureCoordinates,3,0,0

CreateMeshBuilder
AddVertex,1.7,-0.45,0
AddVertex,1.7,-0.45,10
AddVertex,1.7,0.95,10
AddVertex,1.7,0.95,0
AddFace,0,1,2,3
GenerateNormals
LoadTexture,FormSide2.bmp
SetTextureCoordinates,0,0,1
SetTextureCoordinates,1,1,1
SetTextureCoordinates,2,1,0.1
SetTextureCoordinates,3,0,0.1

CreateMeshBuilder
AddVertex,2.7,0.95,0
AddVertex,1.7,0.95,0
AddVertex,1.7,-0.45,0
AddVertex,2.7,-0.45,0
AddFace,3,2,1,0
GenerateNormals
LoadTexture,FormSide2b.bmp
SetTextureCoordinates,0,0.3,0.1
SetTextureCoordinates,1,0,0.1
SetTextureCoordinates,2,0,1
SetTextureCoordinates,3,0.3,1

CreateMeshBuilder
AddVertex,2.7,1.1,0
AddVertex,1.5,1.1,0
AddVertex,1.5,0.95,0
AddVertex,2.7,0.95,0
AddFace,3,2,1,0
GenerateNormals
LoadTexture,FormSide2b.bmp
SetTextureCoordinates,0,0,0
SetTextureCoordinates,1,1,0
SetTextureCoordinates,2,1,0.08
SetTextureCoordinates,3,0,0.08
