CreateMeshBuilder,,,,
AddVertex,0,-0.45,35,
AddVertex,300,-0.45,35,
AddVertex,0,-0.4,34.5,
AddVertex,300,-0.4,34.5,
AddVertex,0,-0.5,34,
AddVertex,300,-0.5,34,
AddVertex,0,-1.1,33.5,
AddVertex,300,-1.1,33.5,
AddVertex,0,-1.58,33.7,
AddVertex,300,-1.58,33.7,
AddFace,0,1,3,2
AddFace,2,3,5,4
AddFace,4,5,7,6
AddFace,6,7,9,8
GenerateNormals,,,,
LoadTexture,w.bmp,,
SetTextureCoordinates,0,0.02,0.2
SetTextureCoordinates,1,15,0.2
SetTextureCoordinates,2,0.02,0
SetTextureCoordinates,3,15,0
SetTextureCoordinates,4,0.02,0.2
SetTextureCoordinates,5,15,0.2
SetTextureCoordinates,6,0.02,0.98
SetTextureCoordinates,7,15,0.98
SetTextureCoordinates,8,0.02,0.1
SetTextureCoordinates,9,15,0.1

CreateMeshBuilder,,,
AddVertex,0,-1.1,34
AddVertex,0,-1.44,1
AddVertex,300,-1.1,34
AddVertex,300,-1.44,1,
AddFace,1,0,2,3
SetColor,140,200,255,50
GenerateNormals,,,,
LoadTexture,t.bmp,,,
SetTextureCoordinates,0,0,0,
SetTextureCoordinates,1,0,1,
SetTextureCoordinates,2,6,0,
SetTextureCoordinates,3,6,1,
